,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
328,2448,2242,2400,2494,10.17,-0.5,0.15,0.15,-0.5,10.17,-0.03,-0.06,-0.02,Nice!
329,2477,2230,2374,2490,10.16,-0.59,-0.05,-0.05,-0.59,10.16,0.05,-0.05,-0.02,Nice!
330,2427,2253,2415,2480,10.11,-0.57,0.2,0.2,-0.57,10.11,0.22,-0.06,-0.05,Nice!
331,2468,2236,2405,2484,10.12,-0.53,0.25,0.25,-0.53,10.12,-0.06,-0.06,-0.02,Nice!
332,2391,2235,2391,2515,10.14,-0.53,0.14,0.14,-0.53,10.14,-0.02,-0.02,-0.02,Nice!
333,2453,2251,2409,2454,10.13,-0.49,0.19,0.19,-0.49,10.13,-0.02,-0.03,-0.02,Nice!
334,2463,2253,2386,2490,10.18,-0.55,0.23,0.23,-0.55,10.18,-0.03,-0.03,-0.01,Nice!
335,2463,2240,2387,2497,10.14,-0.1,0.32,0.32,-0.1,10.14,0.72,-0.04,-0.1,Nice!
336,2480,2253,2405,2508,10.13,0.02,0.34,0.34,0.02,10.13,0.57,-0.07,-0.07,Nice!
337,2416,2260,2384,2511,10.17,-0.03,0.34,0.34,-0.03,10.17,0.1,-0.04,-0.04,Nice!
338,2459,2256,2401,2512,10.15,0.03,0.38,0.38,0.03,10.15,-0.05,-0.05,-0.02,Nice!
339,2423,2269,2385,2554,10.18,0.01,0.31,0.31,0.01,10.18,-0.03,-0.04,-0.02,Nice!
340,2462,2240,2390,2481,10.23,0.04,0.36,0.36,0.04,10.23,-0.04,-0.04,-0.03,Nice!
341,2463,2245,2398,2479,10.13,0.03,0.54,0.54,0.03,10.13,-0.03,-0.04,-0.03,Nice!
342,2464,2237,2378,2535,10.19,0.03,0.4,0.4,0.03,10.19,-0.05,-0.06,-0.03,Nice!
343,2426,2266,2384,2465,10.25,0.21,0.45,0.45,0.21,10.25,0,0,-0.01,Nice!
344,2455,2231,2382,2490,10.11,0.13,0.61,0.61,0.13,10.11,-0.04,0,0.01,Nice!
345,2390,2238,2364,2503,10.18,-0.11,0.59,0.59,-0.11,10.18,-0.03,-0.03,-0.03,Nice!
346,2438,2266,2395,2473,10.15,0.06,0.53,0.53,0.06,10.15,-0.04,-0.03,-0.03,Nice!
347,2466,2240,2389,2498,10.26,-0.11,0.51,0.51,-0.11,10.26,-0.04,0,0.01,Nice!
348,2449,2238,2397,2535,10.15,0.17,0.69,0.69,0.17,10.15,-0.13,-0.11,-0.2,Nice!
349,2462,2195,2397,2490,10.1,0.49,1,1,0.49,10.1,0.02,-0.04,0.03,Nice!
350,2423,2240,2411,2489,10.18,0.62,1.15,1.15,0.62,10.18,0.19,0.13,0.02,Nice!
351,2454,2257,2370,2459,10.14,0.17,1.21,1.21,0.17,10.14,-0.08,-0.17,0.11,Nice!
352,2458,2217,2390,2461,10.17,0.16,0.95,0.95,0.16,10.17,-0.08,-0.03,0.07,Nice!
353,2469,2251,2394,2485,10.17,0.12,0.82,0.82,0.12,10.17,-0.07,-0.08,0,Nice!
354,2466,2230,2422,2465,10.09,0.42,1.01,1.01,0.42,10.09,-0.04,-0.02,0.02,Nice!
355,2459,2265,2411,2484,10.16,0.29,0.83,0.83,0.29,10.16,-0.04,-0.08,-0.09,Nice!
356,2455,2225,2368,2495,10.22,0,0.74,0.74,0,10.22,-0.06,0.05,0.16,Nice!
357,2447,2218,2384,2474,10.13,-0.15,0.69,0.69,-0.15,10.13,0.03,-0.07,-0.14,Nice!
358,2441,2251,2392,2503,10.18,0.02,0.61,0.61,0.02,10.18,0,-0.02,-0.02,Nice!
359,2435,2251,2390,2523,10.15,0.08,0.63,0.63,0.08,10.15,-0.07,-0.01,-0.04,Nice!
360,2441,2255,2385,2484,10.19,0.34,0.99,0.99,0.34,10.19,-0.01,-0.02,-0.03,Nice!
361,2470,2219,2381,2480,10.15,0.32,0.77,0.77,0.32,10.15,-0.12,-0.09,-0.1,Nice!
