,thumb1,index1,middle1,pinky1,accelX1,accelY1,accelZ1,gForceX1,gForceY1,gForceZ1,gyroX1,gyroY1,gyroZ1,gesture
458,2480,2113,2412,2480,10.18,-0.36,-0.02,-0.02,-0.36,10.18,-0.06,-0.05,-0.02,Fuck You!
459,2459,2112,2382,2495,10.18,-0.27,-0.01,-0.01,-0.27,10.18,-0.02,-0.02,-0.04,Fuck You!
460,2442,2173,2416,2448,10.14,-0.4,0.01,0.01,-0.4,10.14,-0.03,-0.02,-0.03,Fuck You!
461,2474,2064,2414,2448,10.09,-0.34,0.11,0.11,-0.34,10.09,-0.02,-0.02,-0.04,Fuck You!
462,2470,2110,2389,2449,10.11,-0.2,0.24,0.24,-0.2,10.11,-0.04,-0.04,-0.02,Fuck You!
463,2496,2163,2402,2462,10.23,-0.2,0.15,0.15,-0.2,10.23,-0.04,-0.03,-0.03,Fuck You!
464,2495,2129,2389,2460,10.1,-0.2,0.17,0.17,-0.2,10.1,-0.04,-0.06,-0.01,Fuck You!
465,2483,2160,2388,2471,10.24,-0.58,0.12,0.12,-0.58,10.24,-0.26,-0.06,-0.14,Fuck You!
466,2491,2229,2412,2480,10.25,0.87,0.49,0.49,0.87,10.25,0.65,0.42,-0.48,Fuck You!
467,2500,0,0,2462,9.79,2.59,1.58,1.58,2.59,9.79,-0.16,0.03,0.01,Fuck You!
468,2450,0,0,2445,10.11,1.75,1.09,1.09,1.75,10.11,-0.33,-0.16,-0.09,Fuck You!
469,2469,0,0,2477,9.96,1.89,1.4,1.4,1.89,9.96,-0.04,-0.04,0.01,Fuck You!
470,2533,0,0,2418,9.97,1.78,1.21,1.21,1.78,9.97,-0.05,-0.04,-0.01,Fuck You!
471,2470,0,0,2447,9.96,1.71,1.18,1.18,1.71,9.96,-0.04,-0.04,0,Fuck You!
472,2481,0,0,2447,9.97,1.64,1.15,1.15,1.64,9.97,-0.04,-0.04,0.06,Fuck You!
